# Real prosumer PV generation + load, 30-second resolution.
#
# Source: Venizelou et al. (2023). Photovoltaic Generation and Load Demand
#   Datasets with 30 seconds resolution from an Actual Prosumer in Cyprus
#   [Dataset]. Zenodo. https://doi.org/10.5281/zenodo.8348862
# License: Creative Commons Attribution 4.0 International (CC BY 4.0).
#
# Excerpt: a 7-hour midday window (2022-09-01 09:00-16:00) of the 'Ppv'
#   (PV) and 'Pload' channels. A partly-cloudy day: strong PV with frequent
#   cloud-driven dips (far richer than a synthetic half-sine). The eval
#   scales both columns to a balcony-system size. See traces/README.md.
#
# columns: t_s (seconds from window start), load_w, pv_w
t_s,load_w,pv_w
0,492,1919
30,484,1924
60,599,1926
90,599,1938
120,596,1945
150,598,1965
180,600,1977
210,594,1971
240,610,1981
270,611,1987
300,617,2000
330,624,2013
360,611,2032
390,610,2041
420,617,2044
450,620,2051
480,623,2055
510,620,2049
540,615,2049
570,616,2057
600,504,2068
630,510,2080
660,519,2082
690,504,2082
720,510,2095
750,521,2107
780,523,2110
810,517,2115
840,521,2120
870,528,2133
900,533,2127
930,532,2133
960,524,2124
990,521,2132
1020,516,2144
1050,534,2174
1080,534,2181
1110,526,2176
1140,522,2177
1170,516,2171
1200,644,2172
1230,637,2183
1260,641,2200
1290,644,2218
1320,643,2230
1350,1146,2242
1380,1090,2233
1410,641,2249
1440,1132,2274
1470,1124,2274
1500,1124,2269
1530,1125,2287
1560,1115,2281
1590,663,2311
1620,525,2345
1650,420,2373
1680,388,2377
1710,386,2375
1740,1647,2397
1770,285,2389
1800,281,2382
1830,449,2401
1860,1878,2409
1890,490,2418
1920,491,2441
1950,469,2424
1980,942,2486
2010,498,2485
2040,345,2485
2070,345,2498
2100,347,2499
2130,341,2498
2160,347,2513
2190,341,2483
2220,332,2492
2250,338,2475
2280,351,2498
2310,474,2499
2340,483,2523
2370,422,2119
2400,450,2326
2430,347,1280
2460,468,2473
2490,471,2543
2520,325,1400
2550,332,1800
2580,756,683
2610,310,930
2640,613,2572
2670,546,2528
2700,555,2523
2730,485,2132
2760,525,2594
2790,516,2535
2820,530,2591
2850,516,2623
2880,398,2644
2910,403,2609
2940,410,2596
2970,417,2614
3000,410,2598
3030,312,1572
3060,420,2687
3090,407,2649
3120,407,2646
3150,308,1588
3180,276,1276
3210,411,2747
3240,426,2751
3270,425,2743
3300,424,2760
3330,426,2774
3360,434,2809
3390,421,2805
3420,427,2815
3450,558,2844
3480,501,2209
3510,375,1209
3540,509,2679
3570,525,2774
3600,589,2760
3630,895,2751
3660,915,2729
3690,904,2712
3720,944,2733
3750,934,2694
3780,953,2702
3810,974,2734
3840,867,2707
3870,858,2429
3900,876,2511
3930,902,2778
3960,887,1923
3990,994,2733
4020,992,2737
4050,836,2257
4080,904,2878
4110,750,1731
4140,857,2754
4170,775,2777
4200,768,2872
4230,773,2863
4260,800,2843
4290,848,2834
4320,855,2828
4350,864,2855
4380,858,2817
4410,865,2839
4440,854,2801
4470,860,2812
4500,909,2827
4530,1092,2818
4560,1103,2805
4590,1093,2810
4620,1288,2821
4650,1307,2818
4680,1301,2842
4710,1315,2868
4740,1307,2884
4770,1320,2915
4800,1316,2937
4830,1277,2820
4860,1326,2104
4890,1435,2947
4920,1451,2700
4950,1442,2813
4980,1483,1358
5010,1454,1593
5040,1456,2083
5070,1545,2914
5100,1521,3104
5130,1030,3081
5160,1405,3052
5190,824,3043
5220,803,3044
5250,796,3017
5280,808,3031
5310,817,3062
5340,792,3076
5370,1280,3105
5400,1284,3131
5430,774,3037
5460,813,3074
5490,805,3152
5520,837,3157
5550,826,3151
5580,823,3116
5610,839,3096
5640,817,3077
5670,812,3052
5700,836,3045
5730,810,3012
5760,806,3015
5790,938,3008
5820,944,3020
5850,901,3035
5880,903,3057
5910,884,3051
5940,871,3050
5970,844,3075
6000,777,3069
6030,795,3074
6060,779,3098
6090,776,3111
6120,751,3125
6150,757,3140
6180,642,2222
6210,736,2967
6240,726,2809
6270,765,3170
6300,758,3139
6330,744,3123
6360,761,3155
6390,653,3134
6420,661,3079
6450,661,3156
6480,660,3099
6510,645,3152
6540,667,3055
6570,642,3168
6600,644,3163
6630,632,3092
6660,788,3198
6690,804,3179
6720,806,3243
6750,794,3237
6780,773,2987
6810,823,3273
6840,793,3275
6870,649,3283
6900,662,3245
6930,650,3271
6960,777,3189
6990,774,3314
7020,770,3307
7050,751,3288
7080,756,3288
7110,773,3281
7140,753,3270
7170,761,3261
7200,770,3256
7230,754,3264
7260,748,3259
7290,756,3248
7320,747,3246
7350,747,3235
7380,768,3244
7410,801,3242
7440,810,3238
7470,792,3236
7500,809,3231
7530,802,3208
7560,687,3205
7590,708,3189
7620,694,3189
7650,697,3185
7680,686,3184
7710,665,3195
7740,654,3192
7770,650,3202
7800,666,3197
7830,672,3216
7860,654,3209
7890,649,3202
7920,669,3212
7950,649,3214
7980,653,3215
8010,668,3225
8040,652,3219
8070,670,3223
8100,679,3227
8130,803,3227
8160,769,3226
8190,773,3233
8220,758,3236
8250,758,3240
8280,755,3255
8310,749,3259
8340,755,3257
