# Real household whole-house active-power trace, 1-second resolution.
#
# Source: Makonin, S. (2018). Rainforest Automation Energy Dataset (RAE)
#   [Dataset]. Harvard Dataverse. https://doi.org/10.7910/DVN/ZJW4LC
#   Paper: Makonin, Wang & Tumpach (2018), 'RAE: The Rainforest Automation
#   Energy Dataset for Smart Grid Meter Data Analysis', Data 3(1):8.
# License: Creative Commons Attribution (CC BY).
#
# Excerpt: a contiguous 6-hour window (House 1 'mains' channel, 1 Hz) that
#   spans a calm overnight baseline through morning activity, mixing a
#   ~500-800 W base with frequent switching and cooking spikes that exceed
#   a single battery's discharge limit. See traces/README.md.
#
# columns: t_s (seconds from window start), watts (whole-house active power)
t_s,watts
0,1154
1,1156
2,1158
3,1159
4,1157
5,1154
6,1155
7,1160
8,1155
9,1151
10,1151
11,1152
12,1153
13,1159
14,1151
15,1155
16,1155
17,1156
18,1152
19,1156
20,1154
21,1149
22,1116
23,1118
24,1118
25,1118
26,1118
27,1117
28,1113
29,1115
30,1116
31,1117
32,1116
33,1117
34,1117
35,1113
36,1116
37,1118
38,1114
39,1116
40,1117
41,1119
42,1118
43,1115
44,1117
45,1114
46,1116
47,1114
48,1113
49,1118
50,1113
51,1117
52,1143
53,1116
54,1118
55,1114
56,1119
57,1116
58,1116
59,1114
60,1113
61,1116
62,1116
63,1117
64,1113
65,1114
66,1115
67,1115
68,1118
69,1117
70,1113
71,1115
72,1111
73,1114
74,1113
75,1114
76,1113
77,1116
78,1114
79,1161
80,1162
81,1158
82,1159
83,1152
84,1153
85,1150
86,1153
87,1150
88,1149
89,1155
90,1150
91,1151
92,1151
93,1149
94,1150
95,1149
96,1151
97,1152
98,1147
99,1148
100,1147
101,1149
102,1150
103,1152
104,1148
105,1145
106,1150
107,1150
108,1148
109,1150
110,1147
111,1148
112,1152
113,1149
114,1148
115,1152
116,1152
117,1149
118,1149
119,1152
120,1147
121,1152
122,1147
123,1151
124,1145
125,1145
126,1145
127,1148
128,1149
129,1145
130,1146
131,1150
132,1143
133,1133
134,1110
135,1112
136,1113
137,1115
138,1111
139,1113
140,1113
141,1113
142,1110
143,1111
144,1113
145,1112
146,1111
147,1115
148,1114
149,1113
150,1113
151,1112
152,1112
153,1112
154,1112
155,1112
156,1112
157,1113
158,1112
159,1113
160,1112
161,1112
162,1112
163,1102
164,1102
165,1103
166,1149
167,1104
168,1144
169,1145
170,1106
171,1102
172,1143
173,1118
174,1115
175,1114
176,1116
177,1151
178,1110
179,1131
180,1114
181,1023
182,1023
183,1027
