# Real household whole-house active-power trace, 1-minute resolution.
#
# Source: Hebrail, G. & Berard, A. (2006). Individual Household Electric
#   Power Consumption [Dataset]. UCI Machine Learning Repository.
#   https://doi.org/10.24432/C58K54
# License: Creative Commons Attribution 4.0 International (CC BY 4.0).
#
# Excerpt: a contiguous 6-hour evening window (2009-03-02 18:50 onward) of
#   the 'Global_active_power' channel, converted kW->W. The window mixes
#   quiet baseline stretches with cooking spikes that exceed a single
#   battery's discharge limit, so it exercises both the steering band and
#   the saturated-grid regime. See traces/README.md.
#
# columns: t_s (seconds from window start), watts (whole-house active power)
t_s,watts
0,764
60,760
120,758
180,756
240,758
300,726
360,664
420,668
480,666
540,672
600,656
660,596
720,594
780,592
840,606
900,660
960,658
1020,658
1080,654
1140,650
1200,976
1260,1688
1320,1744
1380,1788
1440,1876
1500,2162
1560,1968
1620,3148
1680,3584
1740,3422
1800,2246
1860,2106
1920,1668
1980,1572
2040,1288
2100,1286
2160,1286
2220,1294
2280,1280
2340,1290
2400,1292
2460,1284
2520,1278
2580,1280
2640,1482
2700,1312
2760,1286
2820,1290
2880,1296
2940,1386
3000,2078
3060,1970
3120,1760
3180,1436
3240,1514
3300,1798
3360,1432
3420,1402
3480,1446
3540,1950
3600,2856
3660,2938
3720,2632
3780,2584
3840,2560
3900,2570
3960,2554
4020,2544
4080,2550
4140,2818
4200,2810
4260,2832
4320,2842
4380,2842
4440,2920
4500,3388
4560,3382
4620,3378
4680,3380
4740,3374
4800,3358
4860,3366
4920,3358
4980,3352
5040,3464
5100,3580
5160,3478
5220,3456
5280,3450
5340,3190
5400,2804
5460,2952
5520,2698
5580,2674
5640,2692
5700,2742
5760,2706
5820,2766
5880,2822
5940,2808
6000,2752
6060,2712
6120,2722
6180,2632
6240,2624
6300,2638
6360,2652
6420,2652
6480,2654
6540,3306
6600,3426
6660,3638
6720,3450
6780,2912
6840,2460
6900,1842
6960,1768
7020,1762
7080,1762
7140,1760
7200,1766
7260,1768
7320,1770
7380,1764
7440,1754
7500,1698
7560,1650
7620,1652
7680,1644
7740,1628
7800,1604
7860,1580
7920,1592
7980,1596
8040,1662
8100,1744
8160,1854
8220,1834
8280,1852
8340,1856
8400,1772
8460,1774
8520,1760
8580,1796
8640,1812
8700,1796
8760,1798
8820,1800
8880,1792
8940,1784
9000,1764
9060,1728
9120,1692
9180,1696
9240,1704
9300,1720
9360,1712
9420,1658
9480,1768
9540,1782
9600,1780
9660,1538
9720,1498
9780,1478
9840,1466
9900,1548
9960,1574
10020,1570
10080,1552
10140,1462
10200,1464
10260,1480
10320,1470
10380,1406
10440,1404
10500,1452
10560,1312
10620,1094
10680,1020
10740,1016
10800,1008
10860,1004
10920,1008
10980,1006
11040,1006
11100,1000
11160,1002
11220,1000
11280,994
11340,994
11400,986
11460,1000
11520,1074
11580,1070
11640,1072
11700,1070
11760,1072
11820,766
11880,566
11940,568
12000,570
12060,650
12120,642
12180,642
12240,568
12300,548
12360,504
12420,504
12480,502
12540,504
12600,506
12660,504
12720,504
12780,500
12840,500
12900,614
12960,544
13020,470
13080,572
13140,712
13200,710
13260,708
13320,726
13380,766
13440,738
13500,564
13560,480
13620,482
13680,448
13740,380
13800,380
13860,290
13920,286
13980,282
14040,290
14100,288
14160,288
14220,288
14280,282
14340,284
14400,280
14460,282
14520,284
14580,306
14640,360
14700,414
14760,528
14820,610
14880,542
14940,466
15000,456
15060,446
15120,446
15180,450
15240,448
15300,446
15360,436
15420,330
15480,280
15540,280
15600,284
15660,284
15720,284
15780,282
15840,282
15900,282
15960,282
16020,280
16080,280
16140,280
16200,282
16260,282
16320,332
16380,376
16440,370
16500,364
16560,364
16620,362
16680,360
16740,360
16800,360
16860,360
16920,362
16980,406
17040,368
17100,352
17160,378
17220,424
17280,424
17340,424
17400,422
17460,422
17520,420
17580,418
17640,418
17700,418
17760,416
17820,414
17880,380
17940,382
18000,450
18060,444
18120,442
18180,438
18240,436
18300,434
18360,366
18420,358
18480,358
18540,358
18600,358
18660,264
18720,264
18780,262
18840,262
18900,264
18960,264
19020,264
19080,266
19140,264
19200,264
19260,266
19320,266
19380,266
19440,266
19500,266
19560,268
19620,390
19680,408
19740,444
19800,442
19860,440
19920,438
19980,436
20040,434
20100,434
20160,432
20220,416
20280,336
20340,336
20400,272
20460,266
20520,266
20580,264
20640,266
20700,264
20760,268
20820,268
20880,268
20940,268
21000,268
21060,268
21120,268
21180,306
21240,380
21300,376
21360,374
21420,372
21480,370
21540,368
